rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,condition,pointvals_firsthalf,subjID,gender,age,dob,dot,language,turkID,animation_sequence,responses,key_press,earnedThis,earnedCumulative,posttest
743808,,0,html-button-response,0,743814,0.0-0.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
,,,animation,1,755819,0.0-1.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,"[\{""stimulus"":""img/screen1a.png"",""time"":3007\},\{""stimulus"":""img/screen1b.png"",""time"":6003\},\{""stimulus"":""img/screen1c.png"",""time"":9002\}]",[],,,,
2461,<img src='img/screen1d.png'></img>,0,html-button-response,2,758286,0.0-2.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
,,,animation,3,779093,0.0-3.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,"[\{""stimulus"":""img/screen2.jpg"",""time"":801\},\{""stimulus"":""img/screen2.jpg"",""time"":1603\},\{""stimulus"":""img/screen2.jpg"",""time"":2402\},\{""stimulus"":""img/screen2.jpg"",""time"":3202\},\{""stimulus"":""img/screen2.jpg"",""time"":4001\},\{""stimulus"":""img/screen3a.jpg"",""time"":4804\},\{""stimulus"":""img/screen3b.jpg"",""time"":5610\},\{""stimulus"":""img/screen3c.jpg"",""time"":6402\},\{""stimulus"":""img/screen3d.jpg"",""time"":7202\},\{""stimulus"":""img/screen4a.jpg"",""time"":8001\},\{""stimulus"":""img/screen4a.jpg"",""time"":8805\},\{""stimulus"":""img/screen4b.jpg"",""time"":9605\},\{""stimulus"":""img/screen4c.jpg"",""time"":10401\},\{""stimulus"":""img/screen4d.jpg"",""time"":11201\},\{""stimulus"":""img/screen4d.jpg"",""time"":12001\},\{""stimulus"":""img/screen5a.jpg"",""time"":12805\},\{""stimulus"":""img/screen5b1.jpg"",""time"":13607\},\{""stimulus"":""img/screen5b2.jpg"",""time"":14401\},\{""stimulus"":""img/screen5b3.jpg"",""time"":15202\},\{""stimulus"":""img/screen5b4.jpg"",""time"":16006\},\{""stimulus"":""img/screen5b5.jpg"",""time"":16804\},\{""stimulus"":""img/screen5b6.jpg"",""time"":17606\},\{""stimulus"":""img/screen5c.jpg"",""time"":18401\},\{""stimulus"":""img/screen5d.jpg"",""time"":19201\},\{""stimulus"":""img/screen5d.jpg"",""time"":20002\}]",[],,,,
1291,<img src='img/screen5e.jpg'></img>,0,html-button-response,4,780389,0.0-4.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
12938,<p align='center'></p>,0,html-button-response,5,793333,0.0-5.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
7376,,2,html-button-response,6,800718,0.0-6.0-0.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,7,802239,0.0-6.0-1.0,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,6,
3766,,0,html-button-response,8,806015,0.0-6.0-0.1,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,9,807523,0.0-6.0-1.1,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,8,
2191,,3,html-button-response,10,809724,0.0-6.0-0.2,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/1star.wav,,audio-keyboard-response,11,811230,0.0-6.0-1.2,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,1,9,
2085,,1,html-button-response,12,813325,0.0-6.0-0.3,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,13,814827,0.0-6.0-1.3,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,12,
2572,,2,html-button-response,14,817406,0.0-6.0-0.4,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,15,818911,0.0-6.0-1.4,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,18,
2265,,1,html-button-response,16,821185,0.0-6.0-0.5,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/3star.wav,,audio-keyboard-response,17,822689,0.0-6.0-1.5,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,3,21,
1423,,0,html-button-response,18,824118,0.0-6.0-0.6,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,19,825622,0.0-6.0-1.6,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,23,
1429,,3,html-button-response,20,827060,0.0-6.0-0.7,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/1star.wav,,audio-keyboard-response,21,828566,0.0-6.0-1.7,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,1,24,
1443,,2,html-button-response,22,830019,0.0-6.0-0.8,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/6star.wav,,audio-keyboard-response,23,831525,0.0-6.0-1.8,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,6,30,
1090,,3,html-button-response,24,832626,0.0-6.0-0.9,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/1star.wav,,audio-keyboard-response,25,834129,0.0-6.0-1.9,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,1,31,
1216,,0,html-button-response,26,835353,0.0-6.0-0.10,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
null,sound/2star.wav,,audio-keyboard-response,27,836857,0.0-6.0-1.10,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,null,2,33,
1207,,1,html-button-response,28,838070,0.0-6.0-0.11,dynamic,"2,3,6,1",I019,,8,,4/13/2019,,C631851,,,,,,
