stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,condition,pointvals_firsthalf,subjID,gender,age,dob,dot,language,turkID,animation_sequence,responses,key_press,earnedThis,earnedCumulative,posttest
,0,html-button-response,0,7504,0.0-0.0,dynamic,"3,1,2,6",S011,M,10,20/10/2008,10/5/19,English,C243070,,,,,,
,,animation,1,19527,0.0-1.0,dynamic,"3,1,2,6",S011,M,10,20/10/2008,10/5/19,English,C243070,"[{""stimulus"":""img/screen1a.png"",""time"":3003},{""stimulus"":""img/screen1b.png"",""time"":6003},{""stimulus"":""img/screen1c.png"",""time"":9005}]",[],,,,
<img src='img/screen1d.png'></img>,0,html-button-response,2,39800,0.0-2.0,dynamic,"3,1,2,6",S011,M,10,20/10/2008,10/5/19,English,C243070,,,,,,
,,animation,3,60638,0.0-3.0,dynamic,"3,1,2,6",S011,M,10,20/10/2008,10/5/19,English,C243070,"[{""stimulus"":""img/screen2.jpg"",""time"":802},{""stimulus"":""img/screen2.jpg"",""time"":1604},{""stimulus"":""img/screen2.jpg"",""time"":2405},{""stimulus"":""img/screen2.jpg"",""time"":3207},{""stimulus"":""img/screen2.jpg"",""time"":4008},{""stimulus"":""img/screen3a.jpg"",""time"":4810},{""stimulus"":""img/screen3b.jpg"",""time"":5611},{""stimulus"":""img/screen3c.jpg"",""time"":6412},{""stimulus"":""img/screen3d.jpg"",""time"":7213},{""stimulus"":""img/screen4a.jpg"",""time"":8015},{""stimulus"":""img/screen4a.jpg"",""time"":8816},{""stimulus"":""img/screen4b.jpg"",""time"":9617},{""stimulus"":""img/screen4c.jpg"",""time"":10419},{""stimulus"":""img/screen4d.jpg"",""time"":11220},{""stimulus"":""img/screen4d.jpg"",""time"":12021},{""stimulus"":""img/screen5a.jpg"",""time"":12823},{""stimulus"":""img/screen5b1.jpg"",""time"":13624},{""stimulus"":""img/screen5b2.jpg"",""time"":14425},{""stimulus"":""img/screen5b3.jpg"",""time"":15227},{""stimulus"":""img/screen5b4.jpg"",""time"":16028},{""stimulus"":""img/screen5b5.jpg"",""time"":16829},{""stimulus"":""img/screen5b6.jpg"",""time"":17631},{""stimulus"":""img/screen5c.jpg"",""time"":18433},{""stimulus"":""img/screen5d.jpg"",""time"":19233},{""stimulus"":""img/screen5d.jpg"",""time"":20035}]",[],,,,
<img src='img/screen5e.jpg'></img>,0,html-button-response,4,73061,0.0-4.0,dynamic,"3,1,2,6",S011,M,10,20/10/2008,10/5/19,English,C243070,,,,,,
<p align='center'></p>,0,html-button-response,5,89844,0.0-5.0,dynamic,"3,1,2,6",S011,M,10,20/10/2008,10/5/19,English,C243070,,,,,,
,2,html-button-response,6,94569,0.0-6.0-0.0,dynamic,"3,1,2,6",S011,M,10,20/10/2008,10/5/19,English,C243070,,,,,,
sound/2star.wav,,audio-keyboard-response,7,96468,0.0-6.0-1.0,dynamic,"3,1,2,6",S011,M,10,20/10/2008,10/5/19,English,C243070,,,null,2,2,
,1,html-button-response,8,98738,0.0-6.0-0.1,dynamic,"3,1,2,6",S011,M,10,20/10/2008,10/5/19,English,C243070,,,,,,
sound/1star.wav,,audio-keyboard-response,9,100244,0.0-6.0-1.1,dynamic,"3,1,2,6",S011,M,10,20/10/2008,10/5/19,English,C243070,,,null,1,3,
