"subjID","condition","switch","group","correct","correct_8","explore","status","time"
"I001","dynamic",0.253164556962025,"child",0.4,1,0.177215189873418,1,44
"I002","dynamic",1,"child",1,1,0.746835443037975,1,40
"I004","dynamic",0.974683544303797,"child",1,1,0.746835443037975,1,41
"I005","dynamic",0.949367088607595,"child",1,1,0.746835443037975,1,42
"I006","dynamic",0.974683544303797,"child",1,1,0.708860759493671,1,42
"I007","static",0.949367088607595,"child",1,1,0.708860759493671,NA,NA
"I008","static",0.670886075949367,"child",1,1,0.506329113924051,NA,NA
"I009","dynamic",0.518987341772152,"child",0.8,1,0.392405063291139,1,75
"I010","static",0.89873417721519,"child",1,1,0.708860759493671,NA,NA
"I011","dynamic",0.924050632911392,"child",0.8,1,0.632911392405063,1,43
"I012","dynamic",0.936708860759494,"child",1,1,0.79746835443038,1,47
"I014","dynamic",0.784810126582278,"child",1,1,0.683544303797468,1,43
"I015","static",0.10126582278481,"child",1,1,0.0759493670886076,NA,NA
"I016","static",0.860759493670886,"child",1,1,0.594936708860759,NA,NA
"I018","dynamic",0.126582278481013,"child",0.8,0,0.0886075949367089,0,80
"I019","dynamic",0.987341772151899,"child",1,1,0.746835443037975,1,43
"I020","static",1,"child",1,1,0.746835443037975,NA,NA
"I022","dynamic",1,"child",1,1,0.759493670886076,1,43
"I023","dynamic",0.886075949367089,"child",1,1,0.620253164556962,1,43
"I024","dynamic",0.987341772151899,"child",0.4,1,0.772151898734177,1,42
"S002","static",0.291139240506329,"child",1,1,0.20253164556962,NA,NA
"S003","static",0.556962025316456,"child",1,1,0.455696202531646,NA,NA
"S015","static",0.873417721518987,"child",1,1,0.759493670886076,NA,NA
"S017","dynamic",0.987341772151899,"child",0.4,1,0.772151898734177,1,43
"C107684","dynamic",0.113924050632911,"adult",0.8,0,0.0625,0,80
"C145658","static",0.0759493670886076,"adult",1,1,0.05,NA,NA
"C200608","dynamic",0.0506329113924051,"adult",0.8,0,0.025,0,80
"C208225","static",0.113924050632911,"adult",1,1,0.075,NA,NA
"C241656","static",0.0886075949367089,"adult",1,1,0.9375,NA,NA
"C252304","dynamic",0.0379746835443038,"adult",0.8,0,0.0125,0,80
"C252338","dynamic",0.10126582278481,"adult",0.4,0,0.05,0,80
"C282940","dynamic",0.10126582278481,"adult",0.4,0,0.075,0,80
"C323131","dynamic",0.367088607594937,"adult",1,1,0.2375,1,66
"C352019","dynamic",0.0506329113924051,"adult",1,1,0.025,0,80
"C357215","static",0.0506329113924051,"adult",1,1,0.025,NA,NA
"C418483","static",0.0886075949367089,"adult",0.6,1,0.05,NA,NA
"C500532","dynamic",0.291139240506329,"adult",1,1,0.2,1,50
"C502121","static",0.0759493670886076,"adult",1,1,0.0375,NA,NA
"C559246","dynamic",0.0379746835443038,"adult",0.8,0,0.025,0,80
"C602845","static",0.0506329113924051,"adult",0.6,1,0.025,NA,NA
"C621473","dynamic",0.10126582278481,"adult",0.4,0,0.05,0,80
"C665022","dynamic",0.0506329113924051,"adult",0.8,0,0.0125,0,80
"C677474","dynamic",0.126582278481013,"adult",0.4,1,0.05,1,66
"C795114","static",0.253164556962025,"adult",1,1,0.175,NA,NA
"C795388","dynamic",0.0886075949367089,"adult",1,1,0.05,0,80
"C797694","dynamic",0.10126582278481,"adult",0.8,0,0.05,0,80
"C863945","static",0.0632911392405063,"adult",0.6,1,0.0375,NA,NA
"C987589","dynamic",0.10126582278481,"adult",0.8,0,0.0625,0,80
