"","subjID","condition","group","trial","earnedCumulative","earnedLagged","avg_1sthalf","earned_2ndhalf","avg_2ndhalf","diff_2nd_1st"
"1","C106540","dynamic","adult",80,453,220,5.5,233,5.825,0.325
"2","C107684","dynamic","adult",80,456,216,5.4,240,6,0.6
"3","C107684","dynamic","adult",80,456,216,5.4,240,6,0.6
"4","C108472","dynamic","adult",80,468,228,5.7,240,6,0.3
"5","C114455","static","adult",80,468,228,5.7,240,6,0.3
"6","C117906","static","adult",80,468,228,5.7,240,6,0.3
"7","C118442","static","adult",80,468,228,5.7,240,6,0.3
"8","C121661","static","adult",80,468,228,5.7,240,6,0.3
"9","C122521","dynamic","adult",80,450,210,5.25,240,6,0.75
"10","C124605","dynamic","adult",80,378,149,3.725,229,5.725,2
"11","C141267","static","adult",80,460,223,5.575,237,5.925,0.35
"12","C145658","static","adult",80,465,225,5.625,240,6,0.375
"13","C145658","static","adult",80,465,225,5.625,240,6,0.375
"14","C151358","static","adult",80,461,221,5.525,240,6,0.475
"15","C170329","static","adult",80,456,228,5.7,228,5.7,0
"16","C175114","static","adult",80,453,213,5.325,240,6,0.675
"17","C195993","static","adult",80,468,228,5.7,240,6,0.3
"18","C199694","dynamic","adult",80,468,228,5.7,240,6,0.3
"19","C200608","dynamic","adult",80,465,225,5.625,240,6,0.375
"20","C200608","dynamic","adult",80,465,225,5.625,240,6,0.375
"21","C208225","static","adult",80,456,225,5.625,231,5.775,0.15
"22","C208225","static","adult",80,456,225,5.625,231,5.775,0.15
"23","C214082","static","adult",80,433,210,5.25,223,5.575,0.325
"24","C214332","static","adult",80,449,240,6,209,5.225,-0.775
"25","C236616","static","adult",80,456,216,5.4,240,6,0.6
"26","C241350","static","adult",80,420,203,5.075,217,5.425,0.35
"27","C241656","static","adult",80,253,129,3.225,124,3.1,-0.125
"28","C241656","static","adult",80,253,129,3.225,124,3.1,-0.125
"29","C246782","static","adult",80,456,224,5.6,232,5.8,0.2
"30","C246902","dynamic","adult",80,456,216,5.4,240,6,0.6
"31","C252304","dynamic","adult",80,441,201,5.025,240,6,0.975
"32","C252304","dynamic","adult",80,441,201,5.025,240,6,0.975
"33","C252338","dynamic","adult",80,456,216,5.4,240,6,0.6
"34","C252338","dynamic","adult",80,456,216,5.4,240,6,0.6
"35","C269990","dynamic","adult",80,490,209,5.225,281,7.025,1.8
"36","C276861","static","adult",80,468,228,5.7,240,6,0.3
"37","C282940","dynamic","adult",80,456,216,5.4,240,6,0.6
"38","C282940","dynamic","adult",80,456,216,5.4,240,6,0.6
"39","C285659","static","adult",80,465,225,5.625,240,6,0.375
"40","C294690","static","adult",80,465,225,5.625,240,6,0.375
"41","C300083","static","adult",80,464,224,5.6,240,6,0.4
"42","C305651","dynamic","adult",80,477,210,5.25,267,6.675,1.425
"43","C308534","dynamic","adult",80,478,216,5.4,262,6.55,1.15
"44","C311031","static","adult",80,468,228,5.7,240,6,0.3
"45","C312383","static","adult",80,468,228,5.7,240,6,0.3
"46","C323131","dynamic","adult",80,431,200,5,231,5.775,0.775
"47","C323131","dynamic","adult",80,431,200,5,231,5.775,0.775
"48","C323917","static","adult",80,455,218,5.45,237,5.925,0.475
"49","C341958","dynamic","adult",80,464,224,5.6,240,6,0.4
"50","C352019","dynamic","adult",80,468,228,5.7,240,6,0.3
"51","C352019","dynamic","adult",80,468,228,5.7,240,6,0.3
"52","C355547","dynamic","adult",80,481,213,5.325,268,6.7,1.375
"53","C357215","static","adult",80,465,225,5.625,240,6,0.375
"54","C357215","static","adult",80,465,225,5.625,240,6,0.375
"55","C366200","dynamic","adult",80,453,216,5.4,237,5.925,0.524999999999999
"56","C367466","dynamic","adult",80,461,225,5.625,236,5.9,0.275
"57","C368364","dynamic","adult",80,451,206,5.15,245,6.125,0.975
"58","C372078","dynamic","adult",80,468,228,5.7,240,6,0.3
"59","C382811","static","adult",80,458,224,5.6,234,5.85,0.25
"60","C396695","static","adult",80,455,215,5.375,240,6,0.625
"61","C404864","dynamic","adult",80,484,220,5.5,264,6.6,1.1
"62","C405681","static","adult",80,465,225,5.625,240,6,0.375
"63","C407811","static","adult",80,447,211,5.275,236,5.9,0.625
"64","C413970","dynamic","adult",80,365,118,2.95,247,6.175,3.225
"65","C416119","static","adult",80,451,211,5.275,240,6,0.725
"66","C418483","static","adult",80,459,219,5.475,240,6,0.525
"67","C418483","static","adult",80,459,219,5.475,240,6,0.525
"68","C430222","static","adult",80,461,221,5.525,240,6,0.475
"69","C433786","dynamic","adult",80,413,155,3.875,258,6.45,2.575
"70","C447421","dynamic","adult",80,457,217,5.425,240,6,0.575
"71","C450524","static","adult",80,456,216,5.4,240,6,0.6
"72","C453973","static","adult",80,461,221,5.525,240,6,0.475
"73","C455114","static","adult",80,462,225,5.625,237,5.925,0.3
"74","C458938","dynamic","adult",80,469,205,5.125,264,6.6,1.475
"75","C467685","static","adult",80,468,228,5.7,240,6,0.3
"76","C473189","static","adult",80,426,210,5.25,216,5.4,0.15
"77","C497408","static","adult",80,456,216,5.4,240,6,0.6
"78","C500496","dynamic","adult",80,444,204,5.1,240,6,0.9
"79","C500532","dynamic","adult",80,470,216,5.4,254,6.35,0.949999999999999
"80","C500532","dynamic","adult",80,470,216,5.4,254,6.35,0.949999999999999
"81","C502121","static","adult",80,463,223,5.575,240,6,0.425
"82","C502121","static","adult",80,463,223,5.575,240,6,0.425
"83","C508528","dynamic","adult",80,415,187,4.675,228,5.7,1.025
"84","C508699","static","adult",80,468,228,5.7,240,6,0.3
"85","C510966","dynamic","adult",80,457,221,5.525,236,5.9,0.375
"86","C512952","static","adult",80,468,228,5.7,240,6,0.3
"87","C516895","static","adult",80,444,213,5.325,231,5.775,0.45
"88","C525597","static","adult",80,465,228,5.7,237,5.925,0.225
"89","C533545","dynamic","adult",80,453,213,5.325,240,6,0.675
"90","C542538","static","adult",80,464,224,5.6,240,6,0.4
"91","C546592","static","adult",80,420,192,4.8,228,5.7,0.9
"92","C546829","dynamic","adult",80,483,225,5.625,258,6.45,0.825
"93","C549644","dynamic","adult",80,378,149,3.725,229,5.725,2
"94","C550827","static","adult",80,379,154,3.85,225,5.625,1.775
"95","C554893","dynamic","adult",80,461,221,5.525,240,6,0.475
"96","C557613","dynamic","adult",80,485,220,5.5,265,6.625,1.125
"97","C559246","dynamic","adult",80,468,228,5.7,240,6,0.3
"98","C559246","dynamic","adult",80,468,228,5.7,240,6,0.3
"99","C581757","dynamic","adult",80,458,218,5.45,240,6,0.55
"100","C597861","dynamic","adult",80,468,228,5.7,240,6,0.3
"101","C602845","static","adult",80,464,224,5.6,240,6,0.4
"102","C602845","static","adult",80,464,224,5.6,240,6,0.4
"103","C619536","static","adult",80,456,216,5.4,240,6,0.6
"104","C621473","dynamic","adult",80,461,225,5.625,236,5.9,0.275
"105","C621473","dynamic","adult",80,461,225,5.625,236,5.9,0.275
"106","C628667","static","adult",80,453,222,5.55,231,5.775,0.225000000000001
"107","C657154","static","adult",80,446,206,5.15,240,6,0.85
"108","C657532","dynamic","adult",80,460,209,5.225,251,6.275,1.05
"109","C665022","dynamic","adult",80,468,228,5.7,240,6,0.3
"110","C665022","dynamic","adult",80,468,228,5.7,240,6,0.3
"111","C677474","dynamic","adult",80,480,228,5.7,252,6.3,0.6
"112","C677474","dynamic","adult",80,480,228,5.7,252,6.3,0.6
"113","C694371","dynamic","adult",80,425,199,4.975,226,5.65,0.675000000000001
"114","C701897","static","adult",80,468,228,5.7,240,6,0.3
"115","C702816","static","adult",80,468,228,5.7,240,6,0.3
"116","C710910","static","adult",80,468,228,5.7,240,6,0.3
"117","C715506","static","adult",80,468,228,5.7,240,6,0.3
"118","C722096","static","adult",80,456,216,5.4,240,6,0.6
"119","C724041","static","adult",80,456,216,5.4,240,6,0.6
"120","C728723","static","adult",80,465,225,5.625,240,6,0.375
"121","C731954","static","adult",80,468,228,5.7,240,6,0.3
"122","C733870","static","adult",80,468,228,5.7,240,6,0.3
"123","C759783","dynamic","adult",80,444,204,5.1,240,6,0.9
"124","C762877","dynamic","adult",80,468,228,5.7,240,6,0.3
"125","C764029","dynamic","adult",80,473,216,5.4,257,6.425,1.025
"126","C779773","static","adult",80,468,228,5.7,240,6,0.3
"127","C785202","static","adult",80,441,213,5.325,228,5.7,0.375
"128","C786384","dynamic","adult",80,468,228,5.7,240,6,0.3
