"subjID","age","dob","gender","language","country","condition","trial_type","trial_index","stimulus","pointvals_firsthalf","button_pressed","earnedThis","earnedCumulative","posttest","responses","rt","time_elapsed"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","0","<p>Hi! Welcome to the experiment. This study takes the form of a simple decision making task.<br> It is designed to help us learn how children make decisions, so it will look like a kid's game.<br> However, in order to understand how kids make choices, we need to compare what they do to adults<br> doing the same task. That's you! Because of this, we ask you to take the task seriously and do your<br>best, even if the task seems like a strange thing for an adult to do.</p>","1,3,2,6","0",,,,,"17453","17458"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","animation","1",,"1,3,2,6",,,,,"[]",,"29463"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","2","<img src='img/screen1d.png'></img>","1,3,2,6","0",,,,,"1136","30600"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","animation","3",,"1,3,2,6",,,,,"[]",,"51401"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","4","<img src='img/screen5e.jpg'></img>","1,3,2,6","0",,,,,"1210","52612"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","survey-multi-choice","5",,"1,3,2,6",,,,,"\{""Q0"":"" You click on the monsters"",""Q1"":"" Because the main study will have children participating""\}","6809","59425"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","6","Well done!","1,3,2,6","0",,,,,"899","60328"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","7",,"1,3,2,6","1",,,,,"1112","61441"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","8","sound/3star.wav","1,3,2,6",,"3","3",,,"null","62944"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","9",,"1,3,2,6","3",,,,,"586","63532"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","10","sound/6star.wav","1,3,2,6",,"6","9",,,"null","65035"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","11",,"1,3,2,6","2",,,,,"441","65478"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","12","sound/2star.wav","1,3,2,6",,"2","11",,,"null","66980"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","13",,"1,3,2,6","0",,,,,"928","67911"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","14","sound/1star.wav","1,3,2,6",,"1","12",,,"null","69416"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","15",,"1,3,2,6","3",,,,,"549","69966"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","16","sound/6star.wav","1,3,2,6",,"6","18",,,"null","71471"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","17",,"1,3,2,6","1",,,,,"601","72074"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","18","sound/3star.wav","1,3,2,6",,"3","21",,,"null","73577"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","19",,"1,3,2,6","3",,,,,"425","74004"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","20","sound/6star.wav","1,3,2,6",,"6","27",,,"null","75511"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","21",,"1,3,2,6","0",,,,,"513","76028"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","22","sound/1star.wav","1,3,2,6",,"1","28",,,"null","77532"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","23",,"1,3,2,6","2",,,,,"327","77861"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","24","sound/2star.wav","1,3,2,6",,"2","30",,,"null","79363"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","25",,"1,3,2,6","3",,,,,"449","79814"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","26","sound/6star.wav","1,3,2,6",,"6","36",,,"null","81318"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","27",,"1,3,2,6","3",,,,,"330","81650"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","28","sound/6star.wav","1,3,2,6",,"6","42",,,"null","83155"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","29",,"1,3,2,6","3",,,,,"223","83380"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","30","sound/6star.wav","1,3,2,6",,"6","48",,,"null","84884"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","html-button-response","31",,"1,3,2,6","3",,,,,"240","85127"
"C107684","38","05/19/1980","female","English","United States of America","dynamic","audio-keyboard-response","32","sound/6star.wav","1,3,2,6",,"6","54",,,"null","86631"
