subjID,age,dob,dot,gender,language,condition,trial_type,trial_index,stimulus,pointvals_firsthalf,button_pressed,earnedThis,earnedCumulative,posttest,responses,time_elapsed
I025,NA,NA,6/7/19,NA,NA,static,html-button-response,52,NA,6312,3,NA,NA,NA,NA,751149
I025,NA,NA,6/7/19,NA,NA,static,audio-keyboard-response,51,sound/3star.wav,6312,NA,3,70,NA,NA,750303
I025,NA,NA,6/7/19,NA,NA,static,html-button-response,28,NA,6312,1,NA,NA,NA,NA,718402
I025,NA,NA,6/7/19,NA,NA,static,audio-keyboard-response,53,sound/2star.wav,6312,NA,2,72,NA,NA,752653
I025,NA,NA,6/7/19,NA,NA,static,html-button-response,0,NA,6312,0,NA,NA,NA,NA,618211
I025,NA,NA,6/7/19,NA,NA,static,audio-keyboard-response,31,sound/6star.wav,6312,NA,6,42,NA,NA,722596
I025,NA,NA,6/7/19,NA,NA,static,html-button-response,32,NA,6312,3,NA,NA,NA,NA,723598
I025,NA,NA,6/7/19,NA,NA,static,audio-keyboard-response,29,sound/3star.wav,6312,NA,3,36,NA,NA,719906
I025,NA,NA,6/7/19,NA,NA,static,html-button-response,30,NA,6312,0,NA,NA,NA,NA,721090
I025,NA,NA,6/7/19,NA,NA,static,audio-keyboard-response,35,sound/1star.wav,6312,NA,1,45,NA,NA,727439
I025,NA,NA,6/7/19,NA,NA,static,html-button-response,36,NA,6312,1,NA,NA,NA,NA,728333
I025,NA,NA,6/7/19,NA,NA,static,audio-keyboard-response,37,sound/3star.wav,6312,NA,3,48,NA,NA,729840
I025,NA,NA,6/7/19,NA,NA,static,html-button-response,38,NA,6312,0,NA,NA,NA,NA,731006
I025,NA,NA,6/7/19,NA,NA,static,audio-keyboard-response,39,sound/6star.wav,6312,NA,6,54,NA,NA,732510
I025,NA,NA,6/7/19,NA,NA,static,html-button-response,40,NA,6312,2,NA,NA,NA,NA,734028
I025,NA,NA,6/7/19,NA,NA,static,audio-keyboard-response,41,sound/1star.wav,6312,NA,1,55,NA,NA,735535
I025,NA,NA,6/7/19,NA,NA,static,html-button-response,42,NA,6312,3,NA,NA,NA,NA,736892
I025,NA,NA,6/7/19,NA,NA,static,audio-keyboard-response,43,sound/2star.wav,6312,NA,2,57,NA,NA,738396
