"subjID","condition","switch","group","correct","correct_8","correct_1","correct_2","correct_3","correct_6","explore","status","time","totalEarn"
"I025","static",0.974683544303797,"child",1,1,1,1,1,1,0.759493670886076,NA,NA,238
"I026","dynamic",1,"child",0.8,1,0,1,1,1,0.784810126582278,1,41,293
"I027","dynamic",0.936708860759494,"child",1,1,1,1,1,1,0.759493670886076,1,41,307
"I028","dynamic",0.392405063291139,"child",1,1,1,1,1,1,0.253164556962025,1,49,465
"I029","static",0.974683544303797,"child",0.8,1,0,1,1,1,0.734177215189873,NA,NA,246
"I030","dynamic",0.987341772151899,"child",1,1,1,1,1,1,0.759493670886076,1,41,320
"I031","dynamic",0.886075949367089,"child",0.4,1,0,0,0,1,0.746835443037975,1,41,314
"I032","static",0.949367088607595,"child",1,1,1,1,1,1,0.708860759493671,NA,NA,257
"I033","static",0.69620253164557,"child",1,1,1,1,1,1,0.468354430379747,NA,NA,339
"I034","dynamic",0.89873417721519,"child",1,1,1,1,1,1,0.79746835443038,1,47,290
"I035","dynamic",0.974683544303797,"child",0.8,1,1,1,0,1,0.772151898734177,1,43,305
"I037","static",0.974683544303797,"child",1,1,1,1,1,1,0.734177215189873,NA,NA,251
"I038","dynamic",0.987341772151899,"child",0.6,1,0,1,0,1,0.721518987341772,1,40,325
"I039","dynamic",0.936708860759494,"child",1,1,1,1,1,1,0.645569620253165,1,40,356
"I040","static",0.949367088607595,"child",1,1,1,1,1,1,0.746835443037975,NA,NA,243
"I042","static",0.0506329113924051,"child",1,1,1,1,1,1,0.0379746835443038,NA,NA,468
"I043","dynamic",0.177215189873418,"child",0.8,0,1,1,1,1,0.126582278481013,0,80,441
"I044","dynamic",0.962025316455696,"child",1,1,1,1,1,1,0.670886075949367,1,44,332
"I045","static",0.987341772151899,"child",1,1,1,1,1,1,0.746835443037975,NA,NA,245
"I046","dynamic",0.962025316455696,"child",0.6,1,0,1,0,1,0.759493670886076,1,42,318
"I047","dynamic",1,"child",0.8,0,1,1,1,1,0.772151898734177,1,41,310
"I048","dynamic",0.987341772151899,"child",1,1,1,1,1,1,0.759493670886076,1,42,316
"I049","static",0.949367088607595,"child",1,1,1,1,1,1,0.784810126582278,NA,NA,231
"I050","dynamic",0.987341772151899,"child",1,1,1,1,1,1,0.810126582278481,1,42,294
"I051","static",0.240506329113924,"child",0.8,0,1,1,1,1,0.164556962025316,NA,NA,430
"I052","dynamic",0.607594936708861,"child",1,1,1,1,1,1,0.455696202531646,1,49,413
"I053","dynamic",0.69620253164557,"child",1,1,1,1,1,1,0.556962025316456,1,42,386
"I054","dynamic",0.569620253164557,"child",1,1,1,1,1,1,0.683544303797468,1,42,336
"I056","static",0.835443037974684,"child",0.8,1,0,1,1,1,0.594936708860759,NA,NA,292
"I058","dynamic",1,"child",1,1,1,1,1,1,0.759493670886076,1,40,313
"I059","dynamic",0.974683544303797,"child",0,0,0,0,0,0,0.721518987341772,1,41,335
"I060","dynamic",0.924050632911392,"child",1,1,1,1,1,1,0.683544303797468,1,40,349
"I061","dynamic",1,"child",1,1,1,1,1,1,0.746835443037975,1,41,329
"I062","dynamic",0.924050632911392,"child",1,1,1,1,1,1,0.607594936708861,1,48,369
"I063","dynamic",0.974683544303797,"child",0.6,1,0,0,1,1,0.746835443037975,1,43,315
"I064","dynamic",0.949367088607595,"child",1,1,1,1,1,1,0.772151898734177,1,43,299
"I066","dynamic",0.139240506329114,"child",0.8,0,1,1,1,1,0.126582278481013,0,80,439
"I067","dynamic",1,"child",0.8,1,0,1,1,1,0.772151898734177,1,41,302
"I068","dynamic",0.0759493670886076,"child",0.4,0,0,0,1,1,0.0506329113924051,0,80,455
"I069","dynamic",0.911392405063291,"child",0.6,1,1,0,0,1,0.79746835443038,1,41,267
"I070","static",0.974683544303797,"child",1,1,1,1,1,1,0.670886075949367,NA,NA,271
"I071","dynamic",0.253164556962025,"child",0.8,0,1,1,1,1,0.151898734177215,0,80,437
"I072","dynamic",0.40506329113924,"child",0.8,0,1,1,1,1,0.278481012658228,0,80,397
"I073","dynamic",0.848101265822785,"child",1,1,1,1,1,1,0.594936708860759,1,42,381
"I074","static",0.0759493670886076,"child",0.6,1,1,0,0,1,0.0379746835443038,NA,NA,468
"I075","dynamic",0.0759493670886076,"child",0.6,0,1,1,0,1,0.0506329113924051,0,80,464
"I076","static",0.69620253164557,"child",1,1,1,1,1,1,0.531645569620253,NA,NA,309
"I077","dynamic",1,"child",1,1,1,1,1,1,0.772151898734177,1,43,303
"I078","static",0.683544303797468,"child",1,1,1,1,1,1,0.443037974683544,NA,NA,342
"S011","dynamic",0.962025316455696,"child",1,1,1,1,1,1,0.759493670886076,1,40,327
"C106540","dynamic",0.113924050632911,"adult",0.8,0,1,1,1,1,0.05,0,80,453
"C108472","dynamic",0.0506329113924051,"adult",0.8,0,1,1,1,1,0.025,0,80,468
"C114455","static",0.0506329113924051,"adult",1,1,1,1,1,1,0.0125,NA,NA,468
"C117906","static",0.0379746835443038,"adult",1,1,1,1,1,1,0.0125,NA,NA,468
"C118442","static",0.0379746835443038,"adult",0.6,1,1,0,0,1,0.0125,NA,NA,468
"C121661","static",0.0506329113924051,"adult",0.6,1,1,0,0,1,0.0125,NA,NA,468
"C122521","dynamic",0.10126582278481,"adult",0.4,0,1,0,0,1,0.05,0,80,450
"C124605","dynamic",0.848101265822785,"adult",0.8,1,0,1,1,1,0.575,1,40,378
"C141267","static",0.0886075949367089,"adult",0.6,1,1,0,0,1,0.0375,NA,NA,460
"C151358","static",0.10126582278481,"adult",1,1,1,1,1,1,0.0625,NA,NA,461
"C170329","static",0.10126582278481,"adult",1,1,1,1,1,1,0.0625,NA,NA,456
"C175114","static",0.113924050632911,"adult",1,1,1,1,1,1,0.05,NA,NA,453
"C195993","static",0.0379746835443038,"adult",1,1,1,1,1,1,0.0125,NA,NA,468
"C199694","dynamic",0.0506329113924051,"adult",0.4,0,0,0,1,1,0.025,0,80,468
"C214082","static",0.189873417721519,"adult",0.6,1,1,0,0,1,0.1375,NA,NA,433
"C214332","static",0.10126582278481,"adult",1,1,1,1,1,1,0.1,NA,NA,449
"C236616","static",0.10126582278481,"adult",1,1,1,1,1,1,0.0625,NA,NA,456
"C241350","static",0.278481012658228,"adult",0.8,0,1,1,1,1,0.2,NA,NA,420
"C246782","static",0.113924050632911,"adult",0.6,1,1,0,0,1,0.0625,NA,NA,456
"C246902","dynamic",0.10126582278481,"adult",0.8,0,1,1,1,1,0.075,0,80,456
"C269990","dynamic",0.329113924050633,"adult",1,1,1,1,1,1,0.2125,1,40,490
"C276861","static",0.0506329113924051,"adult",1,1,1,1,1,1,0.0375,NA,NA,468
"C285659","static",0.0759493670886076,"adult",0.6,1,0,0,1,1,0.0375,NA,NA,465
"C294690","static",0.0506329113924051,"adult",0.4,0,0,0,1,1,0.025,NA,NA,465
"C300083","static",0.0632911392405063,"adult",0.4,1,0,0,0,1,0.0125,NA,NA,464
"C305651","dynamic",0.278481012658228,"adult",0.4,1,0,0,0,1,0.1875,1,48,477
