subjID,AgeYear
I001,11.55833333
I002,11
I004,8.083333333
I005,9.525
I006,8.9
I007,8.175
I008,9
I009,12.20833333
I010,9.333333333
S002,6.783333333
S003,6.4
S015,9.308333333
S017,6
I011,8.716666667
I012,8.35
I014,7.866666667
I015,9.808333333
I016,8.933333333
I018,11.65833333
I019,8.316666667
I020,6.825
I022,6.591666667
I023,11.99166667
I024,8.275
C107684,38
C241656,34
C282940,34
C352019,24
C665022,25
C145658,36
C200608,26
C208225,30
C252304,36
C252338,38
C357215,52
C559246,31
C795388,25
C797694,31
C863945,46
C987589,32
C323131,37
C418483,37
C500532,23
C502121,39
C602845,34
C621473,38
C677474,28
C795114,42
