"","subjID","condition","group","switch","correct","correct_8","correct_1","correct_2","correct_3","correct_6"
"1","I025","static","child",0.974683544303797,1,1,1,1,1,1
"2","I026","dynamic","child",1,0.8,1,0,1,1,1
"3","I027","dynamic","child",0.936708860759494,1,1,1,1,1,1
"4","I028","dynamic","child",0.392405063291139,1,1,1,1,1,1
"5","I029","static","child",0.974683544303797,0.8,1,0,1,1,1
"6","I030","dynamic","child",0.987341772151899,1,1,1,1,1,1
"7","I031","dynamic","child",0.886075949367089,0.4,1,0,0,0,1
"8","I032","static","child",0.949367088607595,1,1,1,1,1,1
"9","I033","static","child",0.69620253164557,1,1,1,1,1,1
"10","I034","dynamic","child",0.89873417721519,1,1,1,1,1,1
"11","I035","dynamic","child",0.974683544303797,0.8,1,1,1,0,1
"12","I037","static","child",0.974683544303797,1,1,1,1,1,1
"13","I038","dynamic","child",0.987341772151899,0.6,1,0,1,0,1
"14","I039","dynamic","child",0.936708860759494,1,1,1,1,1,1
"15","I040","static","child",0.949367088607595,1,1,1,1,1,1
"16","I042","static","child",0.0506329113924051,1,1,1,1,1,1
"17","I043","dynamic","child",0.177215189873418,0.8,0,1,1,1,1
"18","I044","dynamic","child",0.962025316455696,1,1,1,1,1,1
"19","I045","static","child",0.987341772151899,1,1,1,1,1,1
"20","I046","dynamic","child",0.962025316455696,0.6,1,0,1,0,1
"21","I047","dynamic","child",1,0.8,0,1,1,1,1
"22","I048","dynamic","child",0.987341772151899,1,1,1,1,1,1
"23","I049","static","child",0.949367088607595,1,1,1,1,1,1
"24","I050","dynamic","child",0.987341772151899,1,1,1,1,1,1
"25","I051","static","child",0.240506329113924,0.8,0,1,1,1,1
"26","I052","dynamic","child",0.607594936708861,1,1,1,1,1,1
"27","I053","dynamic","child",0.69620253164557,1,1,1,1,1,1
"28","I054","dynamic","child",0.569620253164557,1,1,1,1,1,1
"29","I056","static","child",0.835443037974684,0.8,1,0,1,1,1
"30","I058","dynamic","child",1,1,1,1,1,1,1
"31","I059","dynamic","child",0.974683544303797,0,0,0,0,0,0
"32","I060","dynamic","child",0.924050632911392,1,1,1,1,1,1
"33","I061","dynamic","child",1,1,1,1,1,1,1
"34","I062","dynamic","child",0.924050632911392,1,1,1,1,1,1
"35","I063","dynamic","child",0.974683544303797,0.6,1,0,0,1,1
"36","I064","dynamic","child",0.949367088607595,1,1,1,1,1,1
"37","I066","dynamic","child",0.139240506329114,0.8,0,1,1,1,1
"38","I067","dynamic","child",1,0.8,1,0,1,1,1
"39","I068","dynamic","child",0.0759493670886076,0.4,0,0,0,1,1
"40","I069","dynamic","child",0.911392405063291,0.6,1,1,0,0,1
"41","I070","static","child",0.974683544303797,1,1,1,1,1,1
"42","I071","dynamic","child",0.253164556962025,0.8,0,1,1,1,1
"43","I072","dynamic","child",0.40506329113924,0.8,0,1,1,1,1
"44","I073","dynamic","child",0.848101265822785,1,1,1,1,1,1
"45","I074","static","child",0.0759493670886076,0.6,1,1,0,0,1
"46","I075","dynamic","child",0.0759493670886076,0.6,0,1,1,0,1
"47","I076","static","child",0.69620253164557,1,1,1,1,1,1
"48","I077","dynamic","child",1,1,1,1,1,1,1
"49","I078","static","child",0.683544303797468,1,1,1,1,1,1
"50","S011","dynamic","child",0.962025316455696,1,1,1,1,1,1
"51","C106540","dynamic","adult",0.113924050632911,0.8,0,1,1,1,1
"52","C108472","dynamic","adult",0.0506329113924051,0.8,0,1,1,1,1
"53","C114455","static","adult",0.0506329113924051,1,1,1,1,1,1
"54","C117906","static","adult",0.0379746835443038,1,1,1,1,1,1
"55","C118442","static","adult",0.0379746835443038,0.6,1,1,0,0,1
"56","C121661","static","adult",0.0506329113924051,0.6,1,1,0,0,1
"57","C122521","dynamic","adult",0.10126582278481,0.4,0,1,0,0,1
"58","C124605","dynamic","adult",0.848101265822785,0.8,1,0,1,1,1
"59","C141267","static","adult",0.0886075949367089,0.6,1,1,0,0,1
"60","C151358","static","adult",0.10126582278481,1,1,1,1,1,1
"61","C170329","static","adult",0.10126582278481,1,1,1,1,1,1
"62","C175114","static","adult",0.113924050632911,1,1,1,1,1,1
"63","C195993","static","adult",0.0379746835443038,1,1,1,1,1,1
"64","C199694","dynamic","adult",0.0506329113924051,0.4,0,0,0,1,1
"65","C214082","static","adult",0.189873417721519,0.6,1,1,0,0,1
"66","C214332","static","adult",0.10126582278481,1,1,1,1,1,1
"67","C236616","static","adult",0.10126582278481,1,1,1,1,1,1
"68","C241350","static","adult",0.278481012658228,0.8,0,1,1,1,1
"69","C246782","static","adult",0.113924050632911,0.6,1,1,0,0,1
"70","C246902","dynamic","adult",0.10126582278481,0.8,0,1,1,1,1
"71","C269990","dynamic","adult",0.329113924050633,1,1,1,1,1,1
"72","C276861","static","adult",0.0506329113924051,1,1,1,1,1,1
"73","C285659","static","adult",0.0759493670886076,0.6,1,0,0,1,1
"74","C294690","static","adult",0.0506329113924051,0.4,0,0,0,1,1
"75","C300083","static","adult",0.0632911392405063,0.4,1,0,0,0,1
"76","C305651","dynamic","adult",0.278481012658228,0.4,1,0,0,0,1
"77","C308534","dynamic","adult",0.215189873417722,1,1,1,1,1,1
"78","C311031","static","adult",0.0506329113924051,0.6,1,1,0,0,1
"79","C312383","static","adult",0.0379746835443038,1,1,1,1,1,1
"80","C323917","static","adult",0.151898734177215,1,1,1,1,1,1
"81","C341958","dynamic","adult",0.0506329113924051,0.2,0,0,0,1,0
"82","C355547","dynamic","adult",0.215189873417722,0.8,1,0,1,1,1
"83","C366200","dynamic","adult",0.151898734177215,1,1,1,1,1,1
"84","C367466","dynamic","adult",0.10126582278481,0.8,0,1,1,1,1
"85","C368364","dynamic","adult",0.417721518987342,1,1,1,1,1,1
"86","C372078","dynamic","adult",0.0632911392405063,0.4,0,1,0,0,1
"87","C382811","static","adult",0.126582278481013,1,1,1,1,1,1
"88","C396695","static","adult",0.0759493670886076,1,1,1,1,1,1
"89","C404864","dynamic","adult",0.215189873417722,0.4,1,0,0,0,1
"90","C405681","static","adult",0.0759493670886076,1,1,1,1,1,1
"91","C407811","static","adult",0.139240506329114,0.8,1,1,0,1,1
"92","C413970","dynamic","adult",0.645569620253165,0,0,0,0,0,0
"93","C416119","static","adult",0.113924050632911,1,1,1,1,1,1
"94","C430222","static","adult",0.0886075949367089,1,1,1,1,1,1
"95","C433786","dynamic","adult",0.443037974683544,0.2,0,0,0,1,0
"96","C447421","dynamic","adult",0.0886075949367089,0.8,0,1,1,1,1
"97","C450524","static","adult",0.10126582278481,1,1,1,1,1,1
"98","C453973","static","adult",0.10126582278481,1,1,1,1,1,1
"99","C455114","static","adult",0.10126582278481,1,1,1,1,1,1
"100","C458938","dynamic","adult",0.291139240506329,1,1,1,1,1,1
"101","C467685","static","adult",0.0506329113924051,0.6,1,0,1,0,1
"102","C473189","static","adult",0.227848101265823,0.6,1,1,0,0,1
"103","C497408","static","adult",0.113924050632911,1,1,1,1,1,1
"104","C500496","dynamic","adult",0.0506329113924051,0.8,0,1,1,1,1
"105","C508528","dynamic","adult",0.189873417721519,0.8,0,1,1,1,1
"106","C508699","static","adult",0.0506329113924051,0.8,0,1,1,1,1
"107","C510966","dynamic","adult",0.126582278481013,0.8,0,1,1,1,1
"108","C512952","static","adult",0.0506329113924051,0.6,1,1,0,0,1
"109","C516895","static","adult",0.151898734177215,1,1,1,1,1,1
"110","C525597","static","adult",0.0759493670886076,0.6,1,1,0,0,1
"111","C533545","dynamic","adult",0.113924050632911,0.8,0,1,1,1,1
"112","C542538","static","adult",0.0632911392405063,1,1,1,1,1,1
"113","C546592","static","adult",0.253164556962025,0.8,1,0,1,1,1
"114","C546829","dynamic","adult",0.177215189873418,0.6,1,0,1,0,1
"115","C549644","dynamic","adult",0.620253164556962,0.4,0,0,0,1,1
"116","C550827","static","adult",0.430379746835443,1,1,1,1,1,1
"117","C554893","dynamic","adult",0.10126582278481,0.4,0,0,1,0,1
"118","C557613","dynamic","adult",0.215189873417722,0.4,1,0,0,0,1
"119","C581757","dynamic","adult",0.0632911392405063,0.8,0,1,1,1,1
"120","C597861","dynamic","adult",0.0506329113924051,0.4,0,1,0,0,1
"121","C619536","static","adult",0.10126582278481,1,1,1,1,1,1
"122","C628667","static","adult",0.139240506329114,1,1,1,1,1,1
"123","C657154","static","adult",0.139240506329114,1,1,1,1,1,1
"124","C657532","dynamic","adult",0.20253164556962,0.6,1,1,0,0,1
"125","C694371","dynamic","adult",0.265822784810127,0.8,0,1,1,1,1
"126","C701897","static","adult",0.0379746835443038,1,1,1,1,1,1
"127","C702816","static","adult",0.0506329113924051,1,1,1,1,1,1
"128","C710910","static","adult",0.0506329113924051,1,1,1,1,1,1
"129","C715506","static","adult",0.0506329113924051,0.4,0,0,0,1,1
"130","C722096","static","adult",0.10126582278481,1,1,1,1,1,1
"131","C724041","static","adult",0.10126582278481,1,1,1,1,1,1
"132","C728723","static","adult",0.0632911392405063,1,1,1,1,1,1
"133","C731954","static","adult",0.0506329113924051,0,0,0,0,0,0
"134","C733870","static","adult",0.0506329113924051,1,1,1,1,1,1
"135","C759783","dynamic","adult",0.139240506329114,0.8,0,1,1,1,1
"136","C762877","dynamic","adult",0.0506329113924051,0.4,0,1,0,0,1
"137","C764029","dynamic","adult",0.139240506329114,1,1,1,1,1,1
"138","C779773","static","adult",0.0379746835443038,0.6,1,0,0,1,1
"139","C785202","static","adult",0.177215189873418,0.6,1,0,0,1,1
"140","C786384","dynamic","adult",0.0506329113924051,0.4,0,1,0,0,1
"141","C793907","static","adult",0.0886075949367089,1,1,1,1,1,1
"142","C801520","static","adult",0.10126582278481,0.6,1,1,0,0,1
"143","C802058","static","adult",0.164556962025316,1,1,1,1,1,1
